노선ID,노선번호,정류소순번,정류소명,노드ID
5200138000,138,61,대연역.부산은행,180350201
5290701000,남구1,35,대연역,180350301
5200010000,10,70,한국도로교통공단,180360301
5200020000,20,9,한국도로교통공단,180360301
5200022000,22,12,한국도로교통공단,180360301
5200024000,24,15,한국도로교통공단,180360301
5200027000,27,15,한국도로교통공단,180360301
5200039000,39,78,한국도로교통공단,180360301
5200131000,131,88,한국도로교통공단,180360301
5200155000,155,69,한국도로교통공단,180360301
5290702000,남구2,26,한국도로교통공단,180360302
5291506000,사상구6,70,한국도로교통공단,180360302
5203001000,3001,30,남부면허시험장,180370301
5203006000,3006,13,남부면허시험장,180370301
5200010000,10,52,대연자이아파트,180380101
5200020000,20,63,대연자이아파트,180380101
5200022000,22,89,대연자이아파트,180380101
5200024000,24,48,대연자이아파트,180380101
5200027000,27,66,대연자이아파트,180380101
5200039000,39,56,대연자이아파트,180380101
5200131000,131,67,대연자이아파트,180380101
5200155000,155,56,대연자이아파트,180380101
5290702000,남구2,51,대연자이아파트,180380103
5291506000,사상구6,55,유엔조각공원,180380301
5291506000,사상구6,56,부산박물관.대연4치안센터,180380302
5200010000,10,71,부경대대연캠퍼스,180390301
5200020000,20,10,부경대대연캠퍼스,180390301
5200022000,22,13,부경대대연캠퍼스,180390301
5200024000,24,16,부경대대연캠퍼스,180390301
5200027000,27,16,부경대대연캠퍼스,180390301
5200039000,39,79,부경대대연캠퍼스,180390301
5200131000,131,89,부경대대연캠퍼스,180390301
5200155000,155,70,부경대대연캠퍼스,180390301
5200010000,10,72,경성대학교입구,180390302
5200020000,20,11,경성대학교입구,180390302
5200022000,22,14,경성대학교입구,180390302
5200024000,24,17,경성대학교입구,180390302
5200027000,27,17,경성대학교입구,180390302
5200039000,39,80,경성대학교입구,180390302
5200131000,131,90,경성대학교입구,180390302
5200155000,155,71,경성대학교입구,180390302
5290702000,남구2,27,부경대대연캠퍼스,180390303
5291506000,사상구6,71,부경대대연캠퍼스,180390303
5290702000,남구2,28,경성대학교입구,180390304
5291506000,사상구6,72,경성대학교입구,180390304
5290702000,남구2,54,자연유치원,180400401
5290702000,남구2,21,하이츠자이아파트,180410301
5290702000,남구2,17,분포중학교,180420101
5290702000,남구2,60,메트로유치원,180420201
5290708000,남구8,37,용당동갓골,180440201
5200068000,68,100,석포여중,180450201
5200134000,134,96,석포여중,180450201
5200138000,138,64,석포여중,180450201
5200138100,138-1,74,석포여중,180450201
5291506000,사상구6,59,석포여자중학교,180450202
5290709000,남구9,42,"유엔기념공원, 부산문화회관",180450203
5291506000,사상구6,58,"유엔기념공원, 부산문화회관",180450203
5290709000,남구9,15,부산박물관.부산문화회관,180450302
5291506000,사상구6,67,부산박물관.부산문화회관,180450302
5290708000,남구8,11,동명대학교,180460101
5290709000,남구9,8,동명대학교,180460101
5290708000,남구8,41,동명불원,180460201
5290709000,남구9,50,동명불원,180460201
5290708000,남구8,40,현대아파트,180460202
5290709000,남구9,49,현대아파트,180460202
5290708000,남구8,42,예문여자고등학교,180470101
5290709000,남구9,51,예문여자고등학교,180470101
5290708000,남구8,10,동명불원,180470201
5290709000,남구9,7,동명불원,180470201
5200010000,10,67,동명대학교정문,180480101
5200155000,155,66,동명대학교정문,180480101
5200583000,583,4,동명대학교정문,180480101
5200010000,10,68,한국산업인력공단남부지사,180480102
5200155000,155,67,한국산업인력공단남부지사,180480102
5200583000,583,5,한국산업인력공단남부지사,180480102
5290708000,남구8,39,동명대학교,180480201
5290709000,남구9,48,동명대학교,180480201
5200010000,10,56,동명대학교후문,180480301
5200068000,68,102,동명대학교후문,180480301
5200134000,134,98,동명대학교후문,180480301
5200138000,138,66,동명대학교후문,180480301
5200138100,138-1,76,동명대학교후문,180480301
5200155000,155,60,동명대학교후문,180480301
5200583000,583,56,동명대학교후문,180480301
5203001000,3001,32,동명대학교후문,180480301
5203006000,3006,14,동명대학교후문,180480301
5291506000,사상구6,61,동명오거리,180480302
5200068000,68,4,한신문화타운,180480401
5200134000,134,4,한신문화타운,180480401
5200138000,138,73,한신문화타운,180480401
5200138100,138-1,83,한신문화타운,180480401
5290708000,남구8,12,한신문화타운,180480402
5290709000,남구9,9,한신문화타운,180480402
5291506000,사상구6,64,한신문화타운,180480402
5200068000,68,101,한신문화타운,180490201
5200134000,134,97,한신문화타운,180490201
5200138000,138,65,한신문화타운,180490201
5200138100,138-1,75,한신문화타운,180490201
5290708000,남구8,38,한신문화타운,180490202
5290709000,남구9,47,한신문화타운,180490202
5291506000,사상구6,60,한신문화타운,180490202
5200068000,68,5,석포여중,180490301
5200134000,134,5,석포여중,180490301
5200138000,138,74,석포여중,180490301
5200138100,138-1,84,석포여중,180490301
5291506000,사상구6,65,석포여자중학교,180490302
5200068000,68,6,유엔공원.부산문화회관,180510401
5200134000,134,6,유엔공원.부산문화회관,180510401
5200138000,138,75,유엔공원.부산문화회관,180510401
5200138100,138-1,85,유엔공원.부산문화회관,180510401
