locallow_nm,노드ID,정류소명
서구,168680101,민들레맨션
서구,168680102,자유아파트
서구,168680201,대티배수지
서구,168680202,부민석유
서구,168680203,부민e편한세상아파트
서구,168680204,산월경로당
서구,168680205,연성아파트
서구,168680206,대신푸르지오
서구,168680207,청송슈퍼
서구,168680208,한일공업사
서구,168720201,남부민시장입구
서구,168730201,남부민초등학교
서구,168730202,천마우편취급국
서구,168730203,남부민2동행정복지센터
서구,168750201,대원사
서구,168750202,동천아파트
서구,168750203,남부민동경로당
서구,168750204,해강노인관
서구,168750205,남부민동
서구,168750301,초장중학교
서구,168750302,하동상회
서구,168760101,서대신동
서구,168760102,광민약국.서대신동
서구,168760103,삼육부산병원
서구,168760201,민들레맨션
서구,168760202,자유아파트
서구,168770301,민방위교육장
서구,168770401,대신롯데캐슬아파트
